gene_id,01B_13_1.fq.gz,01B_33_1.fq.gz,043_14_1.fq.gz,043_33_1.fq.gz,043_3_1.fq.gz,250_14_1.fq.gz,250_34_1.fq.gz,250_4_1.fq.gz
ENSG00000158292.7|GPR153,24326,20566,20238,18085,9669,22705,20814,11300
ENSG00000069812.11|HES2,13,28,28,76,6,17,51,16
ENSG00000097021.20|ACOT7,28650,23247,16585,19496,23401,22097,21522,21317
ENSG00000271746.1|ENSG00000271746,23,15,18,7,22,11,9,24
ENSG00000237436.1|CAMTA1-DT,14,3,18,10,59,26,9,57
ENSG00000049245.13|VAMP3,2208,2704,3484,3467,4165,3022,3476,3908
ENSG00000269925.1|ENSG00000269925,12,12,46,14,11,7,6,4
ENSG00000049246.15|PER3,1174,1460,3487,2129,1219,1668,1788,542
ENSG00000236266.1|ENSG00000236266,0,3,5,0,0,0,4,0
ENSG00000049247.14|UTS2,2,2,4,0,2,2,4,0
ENSG00000227950.1|ENSG00000227950,0,0,0,0,0,0,0,0
ENSG00000171735.19|CAMTA1,9819,13479,12506,16380,8962,9839,16404,7970
ENSG00000237365.1|ENSG00000237365,0,0,0,0,0,0,0,0
ENSG00000207056.1|RNU1-8P,0,0,0,0,0,0,0,0
ENSG00000237728.2|CAMTA1-AS2,0,0,0,0,0,0,0,0
ENSG00000225126.1|CAMTA1-AS1,0,0,0,0,0,0,2,0
ENSG00000237402.1|CAMTA1-IT1,4,5,8,6,4,3,7,0
ENSG00000270171.1|ENSG00000270171,304,275,367,284,180,198,193,144
ENSG00000270035.1|ENSG00000270035,49,63,111,52,38,44,50,28
ENSG00000269978.1|ENSG00000269978,16,53,87,45,16,17,32,13
ENSG00000265392.1|MIR4252,0,0,0,0,0,0,0,0
ENSG00000187017.18|ESPN,52,124,53,129,87,176,103,151
ENSG00000231868.1|ENSG00000231868,0,0,0,0,0,0,0,0
ENSG00000215788.11|TNFRSF25,230,529,2550,462,182,238,370,97
ENSG00000171680.23|PLEKHG5,6327,5613,9593,5801,3717,6400,4888,2975
ENSG00000253022.1|RNU6-731P,0,0,0,0,0,0,0,0
ENSG00000229519.2|ENSG00000229519,0,0,0,0,0,0,0,0
ENSG00000162408.11|NOL9,1308,1351,3044,1396,1753,966,1264,1372
ENSG00000173662.21|TAS1R1,0,0,6,0,0,0,7,0
ENSG00000204859.13|ZBTB48,3347,2687,3505,3345,3448,3253,3094,4874
ENSG00000162413.17|KLHL21,4596,5323,5741,6568,4707,5260,6406,5220
ENSG00000116273.6|PHF13,5990,7305,8305,9228,8276,8143,10371,9279
ENSG00000007923.17|DNAJC11,11466,9202,10316,9184,14778,11252,8775,16448
ENSG00000041988.16|THAP3,3988,4008,3339,4433,3140,4196,5012,4649
ENSG00000162426.16|SLC45A1,3560,3763,3120,3818,2618,3167,3606,2550
ENSG00000252254.1|Y_RNA,3,1,2,3,0,3,3,0
ENSG00000116288.13|PARK7,26495,24647,20268,24295,38564,28007,23833,30207
ENSG00000200344.1|Y_RNA,0,0,0,0,0,0,0,0
ENSG00000284716.1|ENSG00000284716,0,0,0,0,0,0,0,0
ENSG00000116285.13|ERRFI1,3277,3358,5540,4199,3693,3898,4152,3670
ENSG00000238290.1|ENSG00000238290,0,6,17,16,0,0,0,4
ENSG00000232848.1|ENSG00000232848,0,0,0,0,0,0,0,0
ENSG00000284747.1|ENSG00000284747,23,10,27,7,0,3,0,16
ENSG00000049239.13|H6PD,5233,4864,12157,8002,10477,10964,9299,10090
ENSG00000142599.19|RERE,21914,31623,36589,33148,26411,30569,35868,28567
ENSG00000232912.6|RERE-AS1,0,0,0,0,0,0,0,0
ENSG00000221083.1|ENSG00000221083,0,0,0,0,0,0,0,1
ENSG00000270282.1|ENSG00000270282,0,0,0,0,0,0,0,0
ENSG00000224315.2|RPL7P7,0,0,0,0,0,0,0,0
ENSG00000222511.2|Y_RNA,0,0,0,0,0,0,0,0
ENSG00000226545.1|ENSG00000226545,0,0,0,0,0,0,0,0
ENSG00000228423.2|ENSG00000228423,0,0,0,0,0,0,0,0
ENSG00000229716.2|RPL23AP19,0,0,0,0,0,0,0,0
ENSG00000074800.16|ENO1,297493,288288,252994,173888,237604,429980,219270,351489
ENSG00000201725.1|RNU6-304P,0,0,0,0,0,0,0,0
ENSG00000238249.2|HMGN2P17,0,1,1,3,5,1,0,6
ENSG00000232208.2|ENSG00000232208,0,0,0,0,0,0,0,0
ENSG00000232663.2|ENSG00000232663,0,0,0,0,0,0,0,0
ENSG00000131686.15|CA6,0,0,0,0,0,0,0,0
ENSG00000265141.2|RN7SL451P,0,0,0,0,0,0,0,0
ENSG00000197241.4|SLC2A7,0,0,0,0,0,0,0,0
ENSG00000142583.18|SLC2A5,229,158,159,125,135,183,126,155
ENSG00000252404.1|ENSG00000252404,0,0,0,0,0,0,0,0
ENSG00000180758.12|GPR157,332,463,710,511,272,569,687,363
ENSG00000228526.7|MIR34AHG,50,141,208,197,15,84,109,8
ENSG00000234546.5|LNCTAM34A,54,55,156,116,115,52,74,13
ENSG00000234619.1|RPL7P11,1,0,0,0,0,0,0,0
ENSG00000274258.1|MIR6728,13,9,16,9,9,19,10,11
ENSG00000230679.1|ENO1-AS1,2,0,8,2,2,1,4,0
ENSG00000284357.1|MIR34A,1,1,1,1,0,1,1,0
ENSG00000171621.14|SPSB1,1442,1531,1048,1721,671,1672,2505,869
ENSG00000284693.2|LINC02606,178,197,197,135,182,218,203,254
ENSG00000252956.1|RNA5SP40,0,0,0,0,0,0,0,0
ENSG00000235263.1|ENSG00000235263,0,0,0,0,0,0,0,0
ENSG00000171608.17|PIK3CD,3017,4164,3225,4446,1202,4297,5927,1870
ENSG00000179840.5|PIK3CD-AS1,0,0,0,0,0,0,0,0
ENSG00000233268.3|ENSG00000233268,0,0,0,0,0,0,0,0
